mpg,cylinders,displacement,horsepower,weight,acceleration,model year,origin,car name,accelerationToWeightRatio
21.0,4,120.0,87.0,2979,19.5,72,2,peugeot 504 (sw),0.0065458207452165
26.0,4,96.0,69.0,2189,18.0,72,2,renault 12 (sw),0.0082229328460484
22.0,4,122.0,86.0,2395,16.0,72,1,ford pinto (sw),0.0066805845511482
28.0,4,97.0,92.0,2288,17.0,72,3,datsun 510 (sw),0.0074300699300699
23.0,4,120.0,97.0,2506,14.5,72,3,toyouta corona mark ii (sw),0.0057861133280127
28.0,4,98.0,80.0,2164,15.0,72,1,dodge colt (sw),0.0069316081330868
27.0,4,97.0,88.0,2100,16.5,72,3,toyota corolla 1600 (sw),0.0078571428571428
13.0,8,350.0,175.0,4100,13.0,73,1,buick century 350,0.003170731707317
14.0,8,304.0,150.0,3672,11.5,73,1,amc matador,0.0031318082788671
13.0,8,350.0,145.0,3988,13.0,73,1,chevrolet malibu,0.003259779338014
14.0,8,302.0,137.0,4042,14.5,73,1,ford gran torino,0.0035873330034636
15.0,8,318.0,150.0,3777,12.5,73,1,dodge coronet custom,0.0033095048980672
12.0,8,429.0,198.0,4952,11.5,73,1,mercury marquis brougham,0.0023222940226171
13.0,8,400.0,150.0,4464,12.0,73,1,chevrolet caprice classic,0.0026881720430107
13.0,8,351.0,158.0,4363,13.0,73,1,ford ltd,0.0029796011918404
14.0,8,318.0,150.0,4237,14.5,73,1,plymouth fury gran sedan,0.0034222327118244
13.0,8,440.0,215.0,4735,11.0,73,1,chrysler new yorker brougham,0.0023231256599788
12.0,8,455.0,225.0,4951,11.0,73,1,buick electra 225 custom,0.0022217733791153
13.0,8,360.0,175.0,3821,11.0,73,1,amc ambassador brougham,0.0028788275320596
18.0,6,225.0,105.0,3121,16.5,73,1,plymouth valiant,0.0052867670618391
16.0,6,250.0,100.0,3278,18.0,73,1,chevrolet nova custom,0.0054911531421598
18.0,6,232.0,100.0,2945,16.0,73,1,amc hornet,0.0054329371816638
18.0,6,250.0,88.0,3021,16.5,73,1,ford maverick,0.0054617676266137
23.0,6,198.0,95.0,2904,16.0,73,1,plymouth duster,0.0055096418732782
26.0,4,97.0,46.0,1950,21.0,73,2,volkswagen super beetle,0.0107692307692307
11.0,8,400.0,150.0,4997,14.0,73,1,chevrolet impala,0.0028016810086051
12.0,8,400.0,167.0,4906,12.5,73,1,ford country,0.0025479005299633
13.0,8,360.0,170.0,4654,13.0,73,1,plymouth custom suburb,0.0027932960893854
12.0,8,350.0,180.0,4499,12.5,73,1,oldsmobile vista cruiser,0.002778395198933
18.0,6,232.0,100.0,2789,15.0,73,1,amc gremlin,0.0053782717820007
20.0,4,97.0,88.0,2279,19.0,73,3,toyota carina,0.0083369899078543
21.0,4,140.0,72.0,2401,19.5,73,1,chevrolet vega,0.0081216159933361
22.0,4,108.0,94.0,2379,16.5,73,3,datsun 610,0.0069356872635561
18.0,3,70.0,90.0,2124,13.5,73,3,maxda rx3,0.0063559322033898
19.0,4,122.0,85.0,2310,18.5,73,1,ford pinto,0.008008658008658
21.0,6,155.0,107.0,2472,14.0,73,1,mercury capri v6,0.0056634304207119
26.0,4,98.0,90.0,2265,15.5,73,2,fiat 124 sport coupe,0.0068432671081677
15.0,8,350.0,145.0,4082,13.0,73,1,chevrolet monte carlo s,0.0031847133757961
16.0,8,400.0,230.0,4278,9.5,73,1,pontiac grand prix,0.0022206638616175
29.0,4,68.0,49.0,1867,19.5,73,2,fiat 128,0.0104445634708087
24.0,4,116.0,75.0,2158,15.5,73,2,opel manta,0.0071825764596848
20.0,4,114.0,91.0,2582,14.0,73,2,audi 100ls,0.005422153369481
19.0,4,121.0,112.0,2868,15.5,73,2,volvo 144ea,0.0054044630404463
15.0,8,318.0,150.0,3399,11.0,73,1,dodge dart custom,0.0032362459546925
24.0,4,121.0,110.0,2660,14.0,73,2,saab 99le,0.0052631578947368
20.0,6,156.0,122.0,2807,13.5,73,3,toyota mark ii,0.0048094050587816
11.0,8,350.0,180.0,3664,11.0,73,1,oldsmobile omega,0.0030021834061135
20.0,6,198.0,95.0,3102,16.5,74,1,plymouth duster,0.0053191489361702
21.0,6,200.0,105.0825,2875,17.0,74,1,ford maverick,0.0059130434782608
19.0,6,232.0,100.0,2901,16.0,74,1,amc hornet,0.0055153395380903
15.0,6,250.0,100.0,3336,17.0,74,1,chevrolet nova,0.0050959232613908
31.0,4,79.0,67.0,1950,19.0,74,3,datsun b210,0.0097435897435897
26.0,4,122.0,80.0,2451,16.5,74,1,ford pinto,0.0067319461444308
32.0,4,71.0,65.0,1836,21.0,74,3,toyota corolla 1200,0.011437908496732
25.0,4,140.0,75.0,2542,17.0,74,1,chevrolet vega,0.0066876475216365
16.0,6,250.0,100.0,3781,17.0,74,1,chevrolet chevelle malibu classic,0.0044961650357048
16.0,6,258.0,110.0,3632,18.0,74,1,amc matador,0.0049559471365638
18.0,6,225.0,105.0,3613,16.5,74,1,plymouth satellite sebring,0.0045668419595903
16.0,8,302.0,140.0,4141,14.0,74,1,ford gran torino,0.0033808258874667
13.0,8,350.0,150.0,4699,14.5,74,1,buick century luxus (sw),0.0030857629282826
14.0,8,318.0,150.0,4457,13.5,74,1,dodge coronet custom (sw),0.0030289432353601
14.0,8,302.0,140.0,4638,16.0,74,1,ford gran torino (sw),0.0034497628288055
14.0,8,304.0,150.0,4257,15.5,74,1,amc matador (sw),0.0036410617805966
29.0,4,98.0,83.0,2219,16.5,74,2,audi fox,0.0074357818837314
26.0,4,79.0,67.0,1963,15.5,74,2,volkswagen dasher,0.0078960774325012
26.0,4,97.0,78.0,2300,14.5,74,2,opel manta,0.0063043478260869
31.0,4,76.0,52.0,1649,16.5,74,3,toyota corona,0.0100060642813826
32.0,4,83.0,61.0,2003,19.0,74,3,datsun 710,0.0094857713429855
28.0,4,90.0,75.0,2125,14.5,74,1,dodge colt,0.0068235294117647
24.0,4,90.0,75.0,2108,15.5,74,2,fiat 128,0.0073529411764705
26.0,4,116.0,75.0,2246,14.0,74,2,fiat 124 tc,0.0062333036509349
24.0,4,120.0,97.0,2489,15.0,74,3,honda civic,0.0060265166733627
26.0,4,108.0,93.0,2391,15.5,74,3,subaru,0.0064826432455039
31.0,4,79.0,67.0,2000,16.0,74,2,fiat x1.9,0.008
19.0,6,225.0,95.0,3264,16.0,75,1,plymouth valiant custom,0.0049019607843137
18.0,6,250.0,105.0,3459,16.0,75,1,chevrolet nova,0.0046256143394044
15.0,6,250.0,72.0,3432,21.0,75,1,mercury monarch,0.0061188811188811
15.0,6,250.0,72.0,3158,19.5,75,1,ford maverick,0.0061747941735275
16.0,8,400.0,170.0,4668,11.5,75,1,pontiac catalina,0.0024635818337617
15.0,8,350.0,145.0,4440,14.0,75,1,chevrolet bel air,0.0031531531531531
16.0,8,318.0,150.0,4498,14.5,75,1,plymouth grand fury,0.003223654957759
14.0,8,351.0,148.0,4657,13.5,75,1,ford ltd,0.00289886192828
17.0,6,231.0,110.0,3907,21.0,75,1,buick century,0.0053749680061428
16.0,6,250.0,105.0,3897,18.5,75,1,chevroelt chevelle malibu,0.0047472414677957
15.0,6,258.0,110.0,3730,19.0,75,1,amc matador,0.0050938337801608
18.0,6,225.0,95.0,3785,19.0,75,1,plymouth fury,0.0050198150594451
21.0,6,231.0,110.0,3039,15.0,75,1,buick skyhawk,0.0049358341559723
20.0,8,262.0,110.0,3221,13.5,75,1,chevrolet monza 2+2,0.0041912449549829
13.0,8,302.0,129.0,3169,12.0,75,1,ford mustang ii,0.003786683496371
29.0,4,97.0,75.0,2171,16.0,75,3,toyota corolla,0.0073698756333486
23.0,4,140.0,83.0,2639,17.0,75,1,ford pinto,0.0064418340280409
20.0,6,232.0,100.0,2914,16.0,75,1,amc gremlin,0.005490734385724
23.0,4,140.0,78.0,2592,18.5,75,1,pontiac astro,0.0071373456790123
24.0,4,134.0,96.0,2702,13.5,75,3,toyota corona,0.0049962990377498
25.0,4,90.0,71.0,2223,16.5,75,2,volkswagen dasher,0.0074224021592442
24.0,4,119.0,97.0,2545,17.0,75,3,datsun 710,0.0066797642436149
18.0,6,171.0,97.0,2984,14.5,75,1,ford pinto,0.0048592493297587
29.0,4,90.0,70.0,1937,14.0,75,2,volkswagen rabbit,0.0072276716572018
19.0,6,232.0,90.0,3211,17.0,75,1,amc pacer,0.0052943008408595
23.0,4,115.0,95.0,2694,15.0,75,2,audi 100ls,0.0055679287305122
23.0,4,120.0,88.0,2957,17.0,75,2,peugeot 504,0.0057490700033818
22.0,4,121.0,98.0,2945,14.5,75,2,volvo 244dl,0.0049235993208828
25.0,4,121.0,115.0,2671,13.5,75,2,saab 99le,0.005054286783976
33.0,4,91.0,53.0,1795,17.5,75,3,honda civic cvcc,0.0097493036211699
28.0,4,107.0,86.0,2464,15.5,76,2,fiat 131,0.0062905844155844
25.0,4,116.0,81.0,2220,16.9,76,2,opel 1900,0.0076126126126126
25.0,4,140.0,92.0,2572,14.9,76,1,capri ii,0.0057931570762052
26.0,4,98.0,79.0,2255,17.7,76,1,dodge colt,0.0078492239467849
27.0,4,101.0,83.0,2202,15.3,76,2,renault 12tl,0.0069482288828337
17.5,8,305.0,140.0,4215,13.0,76,1,chevrolet chevelle malibu classic,0.0030842230130486
16.0,8,318.0,150.0,4190,13.0,76,1,dodge coronet brougham,0.0031026252983293
15.5,8,304.0,120.0,3962,13.9,76,1,amc matador,0.0035083291267036
14.5,8,351.0,152.0,4215,12.8,76,1,ford gran torino,0.0030367734282325
22.0,6,225.0,100.0,3233,15.4,76,1,plymouth valiant,0.0047633776678008
22.0,6,250.0,105.0,3353,14.5,76,1,chevrolet nova,0.0043244855353414
24.0,6,200.0,81.0,3012,17.6,76,1,ford maverick,0.0058432934926958
22.5,6,232.0,90.0,3085,17.6,76,1,amc hornet,0.0057050243111831
29.0,4,85.0,52.0,2035,22.2,76,1,chevrolet chevette,0.0109090909090909
24.5,4,98.0,60.0,2164,22.1,76,1,chevrolet woody,0.0102125693160813
29.0,4,90.0,70.0,1937,14.2,76,2,vw rabbit,0.0073309241094475
33.0,4,91.0,53.0,1795,17.4,76,3,honda civic,0.0096935933147632
20.0,6,225.0,100.0,3651,17.7,76,1,dodge aspen se,0.004847986852917
18.0,6,250.0,78.0,3574,21.0,76,1,ford granada ghia,0.0058757694459988
18.5,6,250.0,110.0,3645,16.2,76,1,pontiac ventura sj,0.0044444444444444
17.5,6,258.0,95.0,3193,17.8,76,1,amc pacer d/l,0.0055746946445349
29.5,4,97.0,71.0,1825,12.2,76,2,volkswagen rabbit,0.0066849315068493
32.0,4,85.0,70.0,1990,17.0,76,3,datsun b-210,0.0085427135678391
28.0,4,97.0,75.0,2155,16.4,76,3,toyota corolla,0.0076102088167053
26.5,4,140.0,72.0,2565,13.6,76,1,ford pinto,0.0053021442495126
20.0,4,130.0,102.0,3150,15.7,76,2,volvo 245,0.0049841269841269
13.0,8,318.0,150.0,3940,13.2,76,1,plymouth volare premier v8,0.0033502538071065
19.0,4,120.0,88.0,3270,21.9,76,2,peugeot 504,0.006697247706422
19.0,6,156.0,108.0,2930,15.5,76,3,toyota mark ii,0.0052901023890784
16.5,6,168.0,120.0,3820,16.7,76,2,mercedes-benz 280s,0.004371727748691
16.5,8,350.0,180.0,4380,12.1,76,1,cadillac seville,0.0027625570776255
13.0,8,350.0,145.0,4055,12.0,76,1,chevy c10,0.0029593094944512
13.0,8,302.0,130.0,3870,15.0,76,1,ford f108,0.003875968992248
13.0,8,318.0,150.0,3755,14.0,76,1,dodge d100,0.0037283621837549
31.5,4,98.0,68.0,2045,18.5,77,3,honda accord cvcc,0.0090464547677261
30.0,4,111.0,80.0,2155,14.8,77,1,buick opel isuzu deluxe,0.0068677494199535
36.0,4,79.0,58.0,1825,18.6,77,2,renault 5 gtl,0.0101917808219178
25.5,4,122.0,96.0,2300,15.5,77,1,plymouth arrow gs,0.0067391304347826
33.5,4,85.0,70.0,1945,16.8,77,3,datsun f-10 hatchback,0.008637532133676
17.5,8,305.0,145.0,3880,12.5,77,1,chevrolet caprice classic,0.003221649484536
17.0,8,260.0,110.0,4060,19.0,77,1,oldsmobile cutlass supreme,0.004679802955665
15.5,8,318.0,145.0,4140,13.7,77,1,dodge monaco brougham,0.0033091787439613
15.0,8,302.0,130.0,4295,14.9,77,1,mercury cougar brougham,0.0034691501746216
17.5,6,250.0,110.0,3520,16.4,77,1,chevrolet concours,0.0046590909090909
20.5,6,231.0,105.0,3425,16.9,77,1,buick skylark,0.004934306569343
19.0,6,225.0,100.0,3630,17.7,77,1,plymouth volare custom,0.0048760330578512
18.5,6,250.0,98.0,3525,19.0,77,1,ford granada,0.0053900709219858
16.0,8,400.0,180.0,4220,11.1,77,1,pontiac grand prix lj,0.0026303317535545
15.5,8,350.0,170.0,4165,11.4,77,1,chevrolet monte carlo landau,0.0027370948379351
15.5,8,400.0,190.0,4325,12.2,77,1,chrysler cordoba,0.0028208092485549
16.0,8,351.0,149.0,4335,14.5,77,1,ford thunderbird,0.0033448673587081
29.0,4,97.0,78.0,1940,14.5,77,2,volkswagen rabbit custom,0.0074742268041237
24.5,4,151.0,88.0,2740,16.0,77,1,pontiac sunbird coupe,0.0058394160583941
26.0,4,97.0,75.0,2265,18.2,77,3,toyota corolla liftback,0.0080353200883002
25.5,4,140.0,89.0,2755,15.8,77,1,ford mustang ii 2+2,0.0057350272232304
30.5,4,98.0,63.0,2051,17.0,77,1,chevrolet chevette,0.008288639687957
33.5,4,98.0,83.0,2075,15.9,77,1,dodge colt m/m,0.0076626506024096
30.0,4,97.0,67.0,1985,16.4,77,3,subaru dl,0.0082619647355163
30.5,4,97.0,78.0,2190,14.1,77,2,volkswagen dasher,0.0064383561643835
22.0,6,146.0,97.0,2815,14.5,77,3,datsun 810,0.0051509769094138
21.5,4,121.0,110.0,2600,12.8,77,2,bmw 320i,0.0049230769230769
21.5,3,80.0,110.0,2720,13.5,77,3,mazda rx-4,0.0049632352941176
43.1,4,90.0,48.0,1985,21.5,78,2,volkswagen rabbit custom diesel,0.0108312342569269
36.1,4,98.0,66.0,1800,14.4,78,1,ford fiesta,0.008
32.8,4,78.0,52.0,1985,19.4,78,3,mazda glc deluxe,0.0097732997481108
39.4,4,85.0,70.0,2070,18.6,78,3,datsun b210 gx,0.0089855072463768
36.1,4,91.0,60.0,1800,16.4,78,3,honda civic cvcc,0.0091111111111111
19.9,8,260.0,110.0,3365,15.5,78,1,oldsmobile cutlass salon brougham,0.0046062407132243
19.4,8,318.0,140.0,3735,13.2,78,1,dodge diplomat,0.0035341365461847
20.2,8,302.0,139.0,3570,12.8,78,1,mercury monarch ghia,0.0035854341736694
19.2,6,231.0,105.0,3535,19.2,78,1,pontiac phoenix lj,0.0054314002828854
20.5,6,200.0,95.0,3155,18.2,78,1,chevrolet malibu,0.0057686212361331
20.2,6,200.0,85.0,2965,15.8,78,1,ford fairmont (auto),0.0053288364249578
25.1,4,140.0,88.0,2720,15.4,78,1,ford fairmont (man),0.0056617647058823
20.5,6,225.0,100.0,3430,17.2,78,1,plymouth volare,0.0050145772594752
19.4,6,232.0,90.0,3210,17.2,78,1,amc concord,0.0053582554517133
20.6,6,231.0,105.0,3380,15.8,78,1,buick century special,0.0046745562130177
20.8,6,200.0,85.0,3070,16.7,78,1,mercury zephyr,0.0054397394136807
18.6,6,225.0,110.0,3620,18.7,78,1,dodge aspen,0.0051657458563535
18.1,6,258.0,120.0,3410,15.1,78,1,amc concord d/l,0.0044281524926686
19.2,8,305.0,145.0,3425,13.2,78,1,chevrolet monte carlo landau,0.0038540145985401
17.7,6,231.0,165.0,3445,13.4,78,1,buick regal sport coupe (turbo),0.0038896952104499
18.1,8,302.0,139.0,3205,11.2,78,1,ford futura,0.0034945397815912
17.5,8,318.0,140.0,4080,13.7,78,1,dodge magnum xe,0.0033578431372549
30.0,4,98.0,68.0,2155,16.5,78,1,chevrolet chevette,0.0076566125290023
27.5,4,134.0,95.0,2560,14.2,78,3,toyota corona,0.005546875
27.2,4,119.0,97.0,2300,14.7,78,3,datsun 510,0.006391304347826
30.9,4,105.0,75.0,2230,14.5,78,1,dodge omni,0.0065022421524663
21.1,4,134.0,95.0,2515,14.8,78,3,toyota celica gt liftback,0.0058846918489065
23.2,4,156.0,105.0,2745,16.7,78,1,plymouth sapporo,0.0060837887067395
23.8,4,151.0,85.0,2855,17.6,78,1,oldsmobile starfire sx,0.0061646234676007
23.9,4,119.0,97.0,2405,14.9,78,3,datsun 200-sx,0.0061954261954261
20.3,5,131.0,103.0,2830,15.9,78,2,audi 5000,0.0056183745583038
17.0,6,163.0,125.0,3140,13.6,78,2,volvo 264gl,0.0043312101910828
21.6,4,121.0,115.0,2795,15.7,78,2,saab 99gle,0.0056171735241502
16.2,6,163.0,133.0,3410,15.8,78,2,peugeot 604sl,0.0046334310850439
31.5,4,89.0,71.0,1990,14.9,78,2,volkswagen scirocco,0.0074874371859296
29.5,4,98.0,68.0,2135,16.6,78,3,honda accord lx,0.0077751756440281
21.5,6,231.0,115.0,3245,15.4,79,1,pontiac lemans v6,0.0047457627118644
19.8,6,200.0,85.0,2990,18.2,79,1,mercury zephyr 6,0.0060869565217391
22.3,4,140.0,88.0,2890,17.3,79,1,ford fairmont 4,0.0059861591695501
20.2,6,232.0,90.0,3265,18.2,79,1,amc concord dl 6,0.0055742725880551
20.6,6,225.0,110.0,3360,16.6,79,1,dodge aspen 6,0.0049404761904761
17.0,8,305.0,130.0,3840,15.4,79,1,chevrolet caprice classic,0.0040104166666666
17.6,8,302.0,129.0,3725,13.4,79,1,ford ltd landau,0.0035973154362416
16.5,8,351.0,138.0,3955,13.2,79,1,mercury grand marquis,0.0033375474083438
18.2,8,318.0,135.0,3830,15.2,79,1,dodge st. regis,0.0039686684073107
16.9,8,350.0,155.0,4360,14.9,79,1,buick estate wagon (sw),0.0034174311926605
15.5,8,351.0,142.0,4054,14.3,79,1,ford country squire (sw),0.0035273803650715
19.2,8,267.0,125.0,3605,15.0,79,1,chevrolet malibu classic (sw),0.0041608876560332
18.5,8,360.0,150.0,3940,13.0,79,1,chrysler lebaron town @ country (sw),0.0032994923857868
31.9,4,89.0,71.0,1925,14.0,79,2,vw rabbit custom,0.0072727272727272
34.1,4,86.0,65.0,1975,15.2,79,3,maxda glc deluxe,0.0076962025316455
35.7,4,98.0,80.0,1915,14.4,79,1,dodge colt hatchback custom,0.0075195822454308
27.4,4,121.0,80.0,2670,15.0,79,1,amc spirit dl,0.0056179775280898
25.4,5,183.0,77.0,3530,20.1,79,2,mercedes benz 300d,0.0056940509915014
23.0,8,350.0,125.0,3900,17.4,79,1,cadillac eldorado,0.0044615384615384
27.2,4,141.0,71.0,3190,24.8,79,2,peugeot 504,0.0077742946708463
23.9,8,260.0,90.0,3420,22.2,79,1,oldsmobile cutlass salon brougham,0.0064912280701754
34.2,4,105.0,70.0,2200,13.2,79,1,plymouth horizon,0.0059999999999999
34.5,4,105.0,70.0,2150,14.9,79,1,plymouth horizon tc3,0.0069302325581395
31.8,4,85.0,65.0,2020,19.2,79,3,datsun 210,0.0095049504950495
37.3,4,91.0,69.0,2130,14.7,79,2,fiat strada custom,0.0069014084507042
28.4,4,151.0,90.0,2670,16.0,79,1,buick skylark limited,0.0059925093632958
28.8,6,173.0,115.0,2595,11.3,79,1,chevrolet citation,0.0043545279383429
26.8,6,173.0,115.0,2700,12.9,79,1,oldsmobile omega brougham,0.0047777777777777
33.5,4,151.0,90.0,2556,13.2,79,1,pontiac phoenix,0.0051643192488262
41.5,4,98.0,76.0,2144,14.7,80,2,vw rabbit,0.006856343283582
38.1,4,89.0,60.0,1968,18.8,80,3,toyota corolla tercel,0.0095528455284552
32.1,4,98.0,70.0,2120,15.5,80,1,chevrolet chevette,0.0073113207547169
37.2,4,86.0,65.0,2019,16.4,80,3,datsun 310,0.0081228330856859
28.0,4,151.0,90.0,2678,16.5,80,1,chevrolet citation,0.0061613144137415
26.4,4,140.0,88.0,2870,18.1,80,1,ford fairmont,0.0063066202090592
24.3,4,151.0,90.0,3003,20.1,80,1,amc concord,0.0066933066933066
19.1,6,225.0,90.0,3381,18.7,80,1,dodge aspen,0.00553090801538
34.3,4,97.0,78.0,2188,15.8,80,2,audi 4000,0.0072212065813528
29.8,4,134.0,90.0,2711,15.5,80,3,toyota corona liftback,0.0057174474363703
